iter	RMSE
0	696885.0507
1	675218.5612
2	653863.4137
3	637135.2404
4	621574.8323
5	604777.7688
6	588156.2589
7	571337.4863
8	555732.3706
9	542172.6933
10	527497.8654
11	513805.9742
12	502413.7501
13	490825.3862
14	480486.2381
15	470191.2611
16	459026.0464
17	449616.2386
18	440532.2573
19	433440.7262
20	424361.2706
21	417784.391
22	410040.0701
23	402799.159
24	396889.5427
25	392273.2467
26	386226.2143
27	380472.1395
28	372564.5062
29	368179.6912
30	363123.8459
31	357167.8876
32	351967.1416
33	348593.4425
34	344372.4153
35	339267.7384
36	335120.2351
37	330444.7973
38	327325.7018
39	324343.4092
40	321564.7908
41	319837.3396
42	315885.7371
43	313453.3405
44	310743.1119
45	306498.8547
46	304673.9679
47	302129.5059
48	300257.1554
49	297907.4083
50	295261.1133
51	293097.7441
52	291092.5191
53	288265.919
54	284957.3998
55	283296.8434
56	280790.4257
57	279432.0554
58	277444.2804
59	276662.8201
60	274932.7111
61	273947.1578
62	271988.4653
63	270890.896
64	268411.942
65	267344.4521
66	265859.9335
67	264336.2256
68	263024.9346
69	261907.3736
70	261001.0432
71	260057.4984
72	258988.557
73	258414.8752
74	257600.0934
75	257292.4418
76	256521.3027
77	255113.0016
78	253270.6971
79	252036.5783
80	251332.1801
81	250833.8222
82	250213.5789
83	248971.306
84	248231.6974
85	247475.8394
86	246985.4764
87	245823.9225
88	245268.7754
89	244456.0439
90	242955.5034
91	242548.2319
92	241347.3606
93	240573.2679
94	240128.9978
95	239606.5566
96	238774.728
97	237506.1733
98	236091.0254
99	234822.3616
100	234402.0629
101	233956.7855
102	233628.0845
103	232554.7632
104	231711.1012
105	231355.3887
106	230084.7517
107	228258.5809
108	227863.2387
109	227374.5856
110	226864.2414
111	226324.4801
112	225170.9368
113	224527.8563
114	223795.0678
115	222965.0095
116	222707.7983
117	220402.1636
118	219707.5436
119	218934.354
120	218607.6196
121	217927.8199
122	216536.1851
123	215368.7293
124	214382.7984
125	213751.4255
126	213347.7311
127	212609.1735
128	212389.0979
129	211687.4599
130	211113.6189
131	210927.6195
132	210416.2896
133	210080.2631
134	209381.6724
135	208950.5795
136	208487.655
137	207828.3103
138	207687.7497
139	207284.1189
140	206781.1782
141	205421.4592
142	205252.1153
143	204707.8417
144	204375.3793
145	203201.5335
146	202681.4789
147	202152.039
148	201597.5368
149	200928.7561
150	199685.9113
151	199301.3508
152	198797.7912
153	198251.1187
154	197769.2334
155	197382.7338
156	196198.4985
157	195944.589
158	195713.6855
159	195548.268
160	194851.095
161	194427.3857
162	194039.514
163	193583.4577
164	193338.9926
165	192702.7523
166	192211.2481
167	191893.8094
168	191592.449
169	190624.3167
170	190414.7211
171	190170.6559
172	190069.8831
173	189800.7624
174	189599.9536
175	189201.7679
176	188841.5901
177	188697.7997
178	188485.2016
179	188182.1349
180	187254.1864
181	186785.6433
182	186431.291
183	186092.0503
184	185748.8316
185	185599.3115
186	185244.1299
187	184842.748
188	184664.9821
189	184330.4187
190	183346.2987
191	182350.7103
192	182174.3677
193	181243.6888
194	180922.5494
195	180650.5916
196	180498.6401
197	180261.1329
198	179307.8513
199	179070.4197
200	178060.0396
201	177808.2122
202	177412.8264
203	176518.3435
204	176298.902
205	176154.1723
206	176079.7897
207	176010.5067
208	175861.6618
209	175646.1425
210	175495.7519
211	175376.7258
212	175155.122
213	175044.1914
214	174956.4446
215	174644.7119
