iter	Passed	Remaining
0	0	661
1	1	547
2	1	507
3	1	482
4	2	463
5	2	454
6	3	453
7	3	447
8	4	440
9	4	433
10	4	425
11	5	418
12	5	426
13	6	431
14	7	475
15	7	471
16	8	465
17	8	461
18	9	485
19	10	493
20	10	490
21	10	485
22	11	480
23	11	474
24	12	469
25	12	464
26	12	459
27	13	455
28	13	456
29	14	453
30	14	451
31	14	448
32	15	444
33	15	442
34	15	439
35	16	440
36	16	437
37	17	434
38	17	432
39	17	430
40	18	428
41	18	426
42	19	424
43	19	422
44	20	431
45	20	429
46	21	430
47	21	429
48	22	427
49	22	428
50	22	427
51	23	425
52	23	423
53	24	421
54	24	421
55	24	420
56	25	419
57	25	417
58	26	425
59	27	423
60	27	421
61	27	420
62	28	419
63	28	417
64	29	417
65	29	417
66	29	415
67	30	414
68	33	452
69	33	451
70	34	449
71	34	448
72	35	446
73	35	444
74	35	443
75	36	442
76	36	440
77	37	439
78	37	438
79	38	438
80	38	438
81	39	438
82	39	441
83	40	441
84	41	441
85	41	440
86	41	439
87	42	439
88	42	437
89	43	436
90	43	435
91	43	433
92	44	433
93	44	432
94	45	431
95	45	429
96	46	430
97	46	428
98	46	427
99	47	426
100	47	425
101	48	423
102	48	423
103	49	423
104	49	421
105	49	420
106	50	419
107	50	419
108	51	418
109	51	416
110	51	415
111	52	419
112	53	419
113	54	420
114	54	421
115	55	421
116	55	420
117	57	426
118	57	426
119	58	425
120	58	424
121	59	427
122	59	426
123	60	425
124	60	424
125	61	423
126	61	422
127	61	422
128	62	421
129	62	420
130	63	419
131	63	418
132	64	417
133	64	416
134	64	415
135	65	417
136	67	422
137	67	422
138	68	422
139	68	421
140	69	420
141	69	420
142	70	420
143	70	420
144	71	420
145	72	422
146	72	423
147	73	423
148	74	422
149	74	423
150	75	423
151	75	423
152	76	423
153	77	423
154	77	423
155	78	422
156	78	423
157	79	423
158	79	422
159	80	422
160	81	422
161	81	422
162	82	422
163	82	421
164	83	421
165	84	422
166	84	422
167	85	422
168	85	422
169	86	422
170	87	422
171	87	422
172	88	422
173	88	422
174	89	422
175	90	421
176	91	424
177	91	424
178	92	423
179	93	423
180	93	423
181	94	423
182	94	423
183	95	424
184	96	424
185	96	423
186	97	423
187	97	423
188	98	422
189	99	422
190	99	422
191	100	424
192	101	424
193	101	423
194	102	422
195	103	425
196	104	424
197	104	424
198	105	423
199	105	422
200	106	422
201	106	421
202	107	420
203	107	419
204	107	418
205	108	417
206	108	416
207	109	416
208	109	415
209	110	415
210	110	414
211	111	413
212	111	412
213	112	411
214	112	410
215	112	409
216	113	409
217	113	408
218	114	407
219	114	406
220	115	405
221	115	404
222	116	407
223	117	406
224	118	406
225	118	406
226	119	405
227	119	405
228	120	404
229	120	403
230	120	402
231	121	401
232	121	400
233	122	399
234	123	400
235	123	400
236	124	399
237	124	400
238	125	400
239	126	399
240	126	398
241	127	398
242	127	397
243	127	396
244	128	395
245	128	394
246	129	394
247	129	393
248	130	392
249	130	392
250	134	402
251	135	401
252	136	401
253	136	401
254	137	400
255	137	399
256	138	398
257	138	399
258	139	398
259	139	398
260	140	397
261	141	397
262	141	396
263	142	396
264	142	396
265	143	395
266	143	394
267	144	393
268	144	393
269	145	392
270	145	391
271	146	390
